CPU Name,Brand,Capacity,Benchmark Score,Price
Mushkin Element 512GB,Mushkin,512GB,3953,35
Mushkin Tempest 512GB,Mushkin,512GB,3934,43
Kingston DC2000B (Boot Drive) 960GB,Kingston,960GB,3908,190
Netac NV3000 1TB,Netac,1TB,3907,62
Netac NV5000-t 1TB,Netac,1TB,3854,65
Lexar NM610 Pro 1TB,Lexar,1TB,3854,63
Lexar Professional NM700 512GB,Lexar,512GB,3820,104
Crucial P2 500GB,Crucial,500GB,3800,65
ADATA LEGEND 800 2TB,ADATA,2TB,3792,147
ADATA XPG SX8200 Pro 2TB,ADATA,2TB,3743,157
Sabrent Rocket Q 1TB,Sabrent,1TB,3689,148
Western Digital WD_BLACK SN770 250GB,Western,250GB,3676,48
Western Digital WD Green SN350 2TB,Western,2TB,3671,111
Western Digital WD Blue SN550 2TB,Western,2TB,3657,400
Lexar Professional NM700 1TB,Lexar,1TB,3596,62
Integral M3 Plus 500GB,Integral,500GB,3566,43
GOODRAM PX600 250GB,GOODRAM,250GB,3565,36
Lexar NM620 1TB,Lexar,1TB,3551,58
Crucial P1 2TB,Crucial,2TB,3530,250
fanxiang S660 500GB,fanxiang,500GB,3527,36
Kingston A2000 1TB,Kingston,1TB,3527,130
Seagate BarraCuda Q5 2TB,Seagate,2TB,3522,124
Crucial P5 250GB,Crucial,250GB,3510,85
Western Digital WD Green SN350 1TB,Western,1TB,3506,62
Crucial P2 2TB,Crucial,2TB,3497,233
Western Digital WD_BLACK SN750 500GB,Western,500GB,3482,137
Netac NV3000 500GB,Netac,500GB,3453,34
Lexar NM710 500GB,Lexar,500GB,3446,48
Crucial P3 Plus 500GB,Crucial,500GB,3430,36
fanxiang S500 Pro 512GB,fanxiang,512GB,3427,34
Western Digital WD Red SN700 500GB,Western,500GB,3401,63
Transcend 220S 512GB,Transcend,512GB,3394,50
Goodram PX500 256GB,Goodram,256GB,3383,30
fanxiang S501Q 2TB,fanxiang,2TB,3377,118
ADATA LEGEND 800 1TB,ADATA,1TB,3338,59
Kingston NV2 1TB,Kingston,1TB,3322,69
ADATA XPG SX8200 Pro 1TB,ADATA,1TB,3242,65
Emtec X300 Power Pro 1TB,Emtec,1TB,3241,64
Verbatim Vi3000 512GB,Verbatim,512GB,3231,39
Emtec X400 Power Pro 1TB,Emtec,1TB,3156,96
Sabrent Rocket NVMe 256GB,Sabrent,256GB,3152,74
PNY CS1030 1TB,PNY,1TB,3084,61
SanDisk Extreme PRO 3D 500GB,SanDisk,500GB,3082,88
Patriot Viper VPN100 256GB,Patriot,256GB,3048,69
TeamGroup MP33 2TB,TeamGroup,2TB,3047,111
Patriot P310 2TB,Patriot,2TB,3041,106
Kingston KC2500 250GB,Kingston,250GB,3020,21
PNY XLR8 CS3030 250GB,PNY,250GB,3013,47
TeamGroup MP33 Pro 2TB,TeamGroup,2TB,3009,101
Corsair MP510 240GB,Corsair,240GB,2998,90
Lexar NM610 Pro 512GB,Lexar,512GB,2980,36
Intel Solidigm P41 Plus 512GB,Intel,512GB,2980,62
Samsung 980 250GB,Samsung,250GB,2977,52
Lexar Professional NM700 256GB,Lexar,256GB,2975,37
KIOXIA EXCERIA 250GB,KIOXIA,250GB,2973,62
Goodram PX500 1TB,Goodram,1TB,2953,100
ADATA LEGEND 710 1TB,ADATA,1TB,2946,65
Lexar NM620 512GB,Lexar,512GB,2928,33
Kingston A2000 500GB,Kingston,500GB,2891,51
Netac NV5000-t 500GB,Netac,500GB,2887,50
Crucial P2 1TB,Crucial,1TB,2846,93
Western Digital WD Blue SN550 1TB,Western,1TB,2846,280
Kingston A2000 250GB,Kingston,250GB,2830,65
Kingston NV1 2TB,Kingston,2TB,2823,195
MediaRange MR1031 512GB,MediaRange,512GB,2808,80
ADATA LEGEND 710 2TB,ADATA,2TB,2780,120
Emtec X300 Power Pro 512GB,Emtec,512GB,2760,39
Mushkin Tempest 256GB,Mushkin,256GB,2752,30
Goodram IRDM 256GB,Goodram,256GB,2749,28
fanxiang S501 1TB,fanxiang,1TB,2746,85
Gigabyte NVMe 512GB,Gigabyte,512GB,2738,45
Gigabyte NVMe 1TB,Gigabyte,1TB,2737,119
TeamGroup MP33 1TB,TeamGroup,1TB,2736,53
Magix X-EVO 512GB,Magix,512GB,2711,33
Innovation IT Performance 1TB,Innovation,1TB,2697,60
ADATA XPG SX6000 Lite 1TB,ADATA,1TB,2694,121
Crucial P2 250GB,Crucial,250GB,2650,35
Magix X-EVO 1TB,Magix,1TB,2644,64
Crucial P1 1TB,Crucial,1TB,2622,67
Patriot P300 512GB,Patriot,512GB,2622,30
Crucial P1 500GB,Crucial,500GB,2617,42
Seagate BarraCuda Q5 1TB,Seagate,1TB,2611,80
